bvcontrol, 1236/tcp, server
bvcontrol, 1236/udp, Walsh
h323hostcallsc, 1300/tcp, Control
h323hostcallsc, 1300/udp, Control
ms-sql-s, 1433/tcp, Microsoft-SQL-Server
ms-sql-s, 1433/udp, Microsoft-SQL-Server
ms-sql-m, 1434/tcp, Microsoft-SQL-Monitor
ms-sql-m, 1434/udp, Microsoft-SQL-Monitor
ica, 1494/tcp, Client
ica, 1494/udp, Client
wins, 1512/tcp, Service
wins, 1512/udp, Service
prospero-np, 1525/tcp, non-privileged/oracle
prospero-np, 1525/udp, orasrv
datametrics, 1645/tcp, entry
datametrics, 1645/udp, entry
sa-msg-port, 1646/tcp, entry
sa-msg-port, 1646/udp, entry
l2tp, 1701/tcp, l2f
l2tp, 1701/udp, l2f
h323hostcall, 1720/sctp, Control
mtftp, 1759/udp, spss-lm
vdab, 1775/tcp, containers
radius, 1812/tcp, Radius
radius, 1812/udp, Radius
radius-acct, 1813/tcp, Accounting
radius-acct, 1813/udp, Accounting
mtp, 1911/tcp, #
mtp, 1911/udp, #
hsrp, 1985/tcp, Protocol
hsrp, 1985/udp, Protocol
gdp-port, 1997/tcp, Protocol
gdp-port, 1997/udp, Protocol
sieve-filter, 2000/tcp, Daemon
sieve-filter, 2000/udp, Daemon
nfs, 2049/tcp, System
nfs, 2049/udp, System
nfs, 2049/sctp, System
zephyr-srv, 2102/tcp, server
zephyr-srv, 2102/udp, server
zephyr-clt, 2103/tcp, connection
zephyr-clt, 2103/udp, connection
zephyr-hm, 2104/tcp, hostmanager
zephyr-hm, 2104/udp, hostmanager
dali, 2378/udp, control
cvspserver, 2401/tcp, operations
cvspserver, 2401/udp, operations
venus, 2430/tcp, port
venus, 2430/udp, interface
venus-se, 2431/tcp, effects
venus-se, 2431/udp, effect
codasrv, 2432/tcp, used
codasrv, 2432/udp, port
codasrv-se, 2433/tcp, effects
codasrv-se, 2433/udp, effectQ
hpstgmgr, 2600/tcp, HPSTGMGR
hpstgmgr, 2600/udp, HPSTGMGR
discp-client, 2601/tcp, client
discp-client, 2601/udp, client
discp-server, 2602/tcp, server
discp-server, 2602/udp, server
servicemeter, 2603/tcp, Meter
servicemeter, 2603/udp, Meter
nsc-ccs, 2604/tcp, CCS
